L_ISt,L_MSt,L_TSt,L_MSw,L_TSw
71,82,92,98,104
104,114,124,130,135
135,146,157,163,169
169,180,191,197,203
203,215,226,232,238
238,248,258,265,271
271,282,292,298,303
336,346,356,362,368
368,379,390,396,402
402,413,423,429,435
435,446,456,462,468
