R_ISt,R_MSt,R_TSt,R_MSw,R_TSw
87,98,108,114,120
152,163,173,179,184
184,196,208,214,220
252,263,274,280,286
318,328,338,344,350
350,361,372,378,384
384,395,406,412,417
417,429,440,446,451
451,462,472,478,484
484,495,505,511,517
517,528,538,544,549
549,559,569,575,580
