PubicSymphysis_X,PubicSymphysis_Y,PubicSymphysis_Z,FemurRHead_X,FemurRHead_Y,FemurRHead_Z,FemurRTrochanter_X,FemurRTrochanter_Y,FemurRTrochanter_Z,FemurRCondyles_X,FemurRCondyles_Y,FemurRCondyles_Z,TibiaRP_X,TibiaRP_Y,TibiaRP_Z,TibiaRHarp_X,TibiaRHarp_Y,TibiaRHarp_Z,TibiaRD_X,TibiaRD_Y,TibiaRD_Z,CalcaneusR_X,CalcaneusR_Y,CalcaneusR_Z,MetatarsalR_X,MetatarsalR_Y,MetatarsalR_Z,FemurLHead_X,FemurLHead_Y,FemurLHead_Z,FemurLTrochanter_X,FemurLTrochanter_Y,FemurLTrochanter_Z,FemurLCondyles_X,FemurLCondyles_Y,FemurLCondyles_Z,TibiaLP_X,TibiaLP_Y,TibiaLP_Z,TibiaLHarp_X,TibiaLHarp_Y,TibiaLHarp_Z,TibiaLD_X,TibiaLD_Y,TibiaLD_Z,CalcaneusL_X,CalcaneusL_Y,CalcaneusL_Z,MetatarsalL_X,MetatarsalL_Y,MetatarsalL_Z
8.43843575362,9.92851283644,10.4960420042,8.18523069893,11.2208767247,9.89835468361,7.96316703464,11.3418984606,9.5537119845,6.2395793339,9.4168856911,11.5580366807,6.13252088991,9.4169856691,11.1741270581,6.73017262208,8.92359669459,9.18715996572,7.19489671404,8.72114600209,8.08716107861,7.23434273283,9.20265541445,7.81231083225,6.37161680776,6.86179279162,8.45638597793,9.3915096943,11.2426282481,10.7167854678,9.61064092382,11.3767231336,10.5705409547,9.86468613918,10.9058194385,13.4824192073,9.46367354494,9.6668747301,12.9910460058,9.88185254573,8.62839282587,12.6740069144,9.79559967355,7.41707569804,12.2509455702,9.83830782954,7.39483021465,11.6512422117,10.2018781328,6.8974334733,14.2848478962
8.50138866228,9.99510151333,10.3598576359,7.5000220849,11.3865419313,10.4379274485,7.34063132634,11.5980959668,10.1390226277,6.14087087777,9.49056354933,11.6104609011,6.07442481191,9.42905264599,11.2118414029,6.71297753748,8.99889400048,9.15526892784,7.15701598253,8.82065608053,8.04395195285,7.20156308463,9.27364582111,7.80393995923,6.42177606001,6.9325887464,8.15130680128,9.47859909929,11.3122810844,10.8323801738,9.77183384161,11.4123688382,10.6443180061,9.77019066903,10.8698055068,13.5938063177,9.76285037661,10.5121591628,13.4154124379,9.88397567265,8.52646986885,12.4610976541,9.78323788884,7.4701279326,12.0025459887,9.88195787907,7.4567335109,11.39751961,10.2198266618,6.91145721679,13.9649736118
8.56509634657,10.0789281579,10.3272346397,7.58801984615,11.4362164375,10.444298605,7.43752677513,11.6578842496,10.1412784224,6.10066106528,9.55953615166,11.6640476067,6.01582226484,9.53389678905,11.251127537,6.62835536491,9.10103387416,9.12355130242,7.03345439044,8.88293947251,8.01834838054,7.03107882475,9.34175089675,7.82249483199,6.39227692319,6.92407494417,7.83046742006,9.51684689704,11.3488662875,10.784731114,9.82325685119,11.4460358563,10.6084748527,9.85805742951,10.7948798869,13.5134027377,9.81134639537,10.4400665057,13.3164683389,9.98176133816,8.50803371823,12.1667121476,9.8119854708,7.53055527931,11.6839596887,9.85245103089,7.53709190079,11.0661779566,10.3201782841,6.9134668182,13.6017689867
8.57827891939,10.1300222684,10.3385541217,7.62058904864,11.5255962619,10.5191317334,7.51458107055,11.774974339,10.2327313801,6.10497192901,9.70222688718,11.6842620205,6.02108465018,9.66026999186,11.2476747142,6.52657221469,9.23736336272,9.11702993398,6.87085996633,9.01059038775,8.07289073557,6.85727630663,9.44852183396,7.8688123307,6.44188732598,7.04565266014,7.60736333412,9.66059669922,11.4018386326,10.755033966,9.94355698272,11.5083204148,10.5753161263,9.94310536144,10.6892499907,13.492570417,9.88400293195,10.3638615835,13.2266423732,10.0028123109,8.53077291682,11.9370005563,9.81946027746,7.60281733676,11.3876499646,9.86034156212,7.67237864852,10.7773927209,10.3096279697,6.907253001,13.2793503456
8.70145072869,10.1860908402,10.345524479,7.73249858233,11.6398447428,10.5666009429,7.57619191864,11.8444716275,10.2769282852,6.19872493379,9.95960879835,11.8473721202,6.09920070052,9.83472693113,11.434570523,6.69601934684,9.58087569147,9.25657163169,6.83468541189,9.40373248666,8.16376066315,6.87077118764,9.92674669678,7.9506337533,6.56231248374,7.37726676099,7.59179182207,9.71874881415,11.435270321,10.7723095534,9.99212736537,11.5417687828,10.5931065381,10.0607021102,10.6299363407,13.4068306936,9.97683131441,10.3231534849,13.1606652054,9.97825802208,8.65195222206,11.7776351547,9.79627044122,7.73767635613,11.1233924992,9.83533888826,7.81338649577,10.4860221146,10.2599279703,6.90482828513,12.9306249959
8.68658021492,10.1983438189,10.3253156233,7.72662932852,11.6406888845,10.573294317,7.58987144786,11.8265222106,10.2477747266,6.16593158384,10.1016839838,12.0806509661,6.15067480452,10.0042247791,11.7335920237,6.952644863,9.9634980822,9.44143177587,6.88272963841,10.0256916685,8.35502837116,6.97165947689,10.5012061067,8.17005200205,6.4751332642,7.97200467842,8.04033210283,9.76656777762,11.4092545752,10.7643053276,10.0282477714,11.5101567698,10.5973434107,10.1660304084,10.5585654769,13.2903368903,10.062066137,10.2638896707,13.0440194157,10.029795061,8.71390015005,11.5604453206,9.81086573903,7.82912516841,10.7869204367,9.82588371893,7.92322626388,10.1860239577,10.2471951576,6.90596950438,12.5539588508
8.64618751312,10.2220664239,10.3467625428,7.69828494443,11.6794359919,10.57898466,7.56678873133,11.8519020133,10.2521066015,6.20052039226,10.2510879096,12.2710698577,6.193327174,10.1414586547,11.8967952288,6.82773214294,10.2165782973,9.72785784551,6.8733853999,10.2552730853,8.57240399116,6.96958550964,10.7246868915,8.30034340195,6.33045895815,8.52120559442,8.7672848631,9.78581816674,11.4322266494,10.7436766292,10.0798118232,11.562712592,10.5763141732,10.1984007228,10.4385089079,13.2207969676,10.0772798288,10.1646427,12.9487933505,9.96546089131,8.68107092185,11.3610367835,9.73558178217,7.90240956854,10.5543487921,9.76724252048,8.04893918889,9.94523101731,10.2092250679,6.90789534506,12.2769912642
8.57504480276,10.1601136649,10.3165945737,7.69905567672,11.6726067088,10.5687790991,7.54283749971,11.8062146911,10.210037636,6.40882384601,10.5269849583,12.4574936886,6.34459310575,10.411194808,12.0873338303,6.75673166288,10.2309965046,9.86979360939,6.74602559307,10.2197044747,8.76627472284,6.80475413459,10.5604630099,8.3626977186,6.08511609402,8.62595071659,9.78422970087,9.82277106944,11.4815349492,10.7044291309,10.1596479666,11.6127430674,10.5383728591,10.1974616646,10.3512452348,13.1443849788,10.1337838505,10.0653078325,12.8550529629,9.99567061622,8.75026992444,11.0833437309,9.72644406837,8.07862590093,10.2900256785,9.75953483969,8.24332675005,9.67505050504,10.2168761502,6.9281225327,11.9261429273
8.68186493524,10.1840735707,10.2850421262,7.70353196275,11.6575106631,10.5655812073,7.55342663128,11.7497987822,10.2037325927,6.40718763235,10.8211008104,12.744452292,6.29173980897,10.6158505605,12.3715560811,6.63023699068,10.0680035353,10.0803694167,6.62650217631,9.79483546627,9.12860910578,6.6318758172,10.0160127618,8.58494730732,6.14940130078,8.84731356354,10.5781331246,9.81903798225,11.4871134301,10.6853110687,10.19313866,11.6248765165,10.501270435,10.2693299466,10.2569199013,13.0816819237,10.1725673049,9.98843962399,12.7818623426,10.0531630708,8.73704233387,10.8336355714,9.68465442164,8.19820907173,10.011695584,9.72716822968,8.43650920935,9.39250774538,10.1818823032,6.89755415232,11.6092749601
8.83640840075,10.1851881775,10.2643168601,7.6846571309,11.6620170753,10.5354030634,7.45358851312,11.7219105926,10.1309378458,6.47519934037,11.0480519751,12.8559077035,6.42201785289,10.8356989321,12.5398099948,6.5810852499,9.84081248175,10.4978018087,6.5469999007,9.37246500755,9.54208966445,6.48114934684,9.38864107956,8.9907621911,6.15281984062,8.77539940384,11.2969127877,9.84376341733,11.4925149935,10.6349343208,10.1850383604,11.6324631815,10.4575448275,10.3518628027,10.1363471675,12.9157576937,10.3285877996,9.93138700213,12.5540184625,10.0488092657,8.76480059974,10.6315290059,9.67888650606,8.31453022503,9.79303031581,9.73365441448,8.50696855724,9.20119830654,10.1675923964,6.89053091824,11.2971757357
