R_ISt,R_MSt,R_TSt,R_MSw,R_TSw
174,183,192,198,204
204,214,223,230,236
236,248,260,266,272
272,281,289,294,299
365,374,383,389,395
528,540,551,557,563
563,573,583,590,596
