L_ISt,L_MSt,L_TSt,L_MSw,L_TSw
24,34,43,48,52
52,62,72,78,84
84,93,102,108,114
114,125,135,141,146
146,156,166,171,176
247,256,265,271,277
277,288,298,305,311
342,352,362,368,374
525,536,546,552,558
