R_ISt,R_MSt,R_TSt,R_MSw,R_TSw
41,50,58,64,70
70,79,88,94,99
129,139,148,154,160
263,272,281,288,294
294,306,317,323,328
328,338,348,353,358
358,368,378,385,391
508,520,532,538,543
543,554,564,570,575
