PubicSymphysis_cam1_X,PubicSymphysis_cam1_Y,PubicSymphysis_cam2_X,PubicSymphysis_cam2_Y,FemurRHead_cam1_X,FemurRHead_cam1_Y,FemurRHead_cam2_X,FemurRHead_cam2_Y,FemurRTrochanter_cam1_X,FemurRTrochanter_cam1_Y,FemurRTrochanter_cam2_X,FemurRTrochanter_cam2_Y,FemurRCondyles_cam1_X,FemurRCondyles_cam1_Y,FemurRCondyles_cam2_X,FemurRCondyles_cam2_Y,TibiaRP_cam1_X,TibiaRP_cam1_Y,TibiaRP_cam2_X,TibiaRP_cam2_Y,TibiaRHarp_cam1_X,TibiaRHarp_cam1_Y,TibiaRHarp_cam2_X,TibiaRHarp_cam2_Y,TibiaRD_cam1_X,TibiaRD_cam1_Y,TibiaRD_cam2_X,TibiaRD_cam2_Y,CalcaneusR_cam1_X,CalcaneusR_cam1_Y,CalcaneusR_cam2_X,CalcaneusR_cam2_Y,MetatarsalR_cam1_X,MetatarsalR_cam1_Y,MetatarsalR_cam2_X,MetatarsalR_cam2_Y,FemurLHead_cam1_X,FemurLHead_cam1_Y,FemurLHead_cam2_X,FemurLHead_cam2_Y,FemurLTrochanter_cam1_X,FemurLTrochanter_cam1_Y,FemurLTrochanter_cam2_X,FemurLTrochanter_cam2_Y,FemurLCondyles_cam1_X,FemurLCondyles_cam1_Y,FemurLCondyles_cam2_X,FemurLCondyles_cam2_Y,TibiaLP_cam1_X,TibiaLP_cam1_Y,TibiaLP_cam2_X,TibiaLP_cam2_Y,TibiaLHarp_cam1_X,TibiaLHarp_cam1_Y,TibiaLHarp_cam2_X,TibiaLHarp_cam2_Y,TibiaLD_cam1_X,TibiaLD_cam1_Y,TibiaLD_cam2_X,TibiaLD_cam2_Y,CalcaneusL_cam1_X,CalcaneusL_cam1_Y,CalcaneusL_cam2_X,CalcaneusL_cam2_Y,MetatarsalL_cam1_X,MetatarsalL_cam1_Y,MetatarsalL_cam2_X,MetatarsalL_cam2_Y
1491.4203,376.29724,1313.3315,341.24698,1496.8553,343.70212,1331.9038,289.88855,1498.1781,323.4381,1343.4904,280.89368,1294.8876,306.38855,1321.3297,372.32162,1310.9774,308.58218,1335.6223,372.61423,1380.4315,315.87555,1387.4359,381.7063,1409.8983,336.1746,1409.3936,387.7902,1431.4304,336.2905,1421.9618,374.0547,1350.7219,354.7512,1410.2247,452.0004,1490.7488,329.80508,1272.3875,299.34787,1498.5293,319.46414,1272.2612,292.95328,1301.3517,303.4806,1173.0927,303.56772,1032.7638,269.24112,1182.4706,317.4641,1380.8502,310.17676,1223.7134,379.42184,1412.7413,341.3492,1241.3932,410.9452,1438.8953,347.85764,1257.9489,417.6059,1339.7394,356.07806,1177.6576,405.84003
1383.7345,232.59117,1301.9016,338.79706,1366.6316,201.51073,1322.729,290.93732,1369.3405,192.63696,1333.9703,279.79025,1292.6206,310.0303,1318.9783,372.0709,1309.2854,312.88986,1332.8954,373.42468,1337.6919,315.3236,1385.6637,381.18173,1365.1472,353.98444,1408.4062,386.8768,1387.7692,358.15274,1417.8615,371.92502,1287.1526,347.45377,1419.6204,449.24628,1363.1362,189.06514,1263.4507,298.329,1376.6213,178.96927,1264.0249,290.55963,1294.6323,231.8528,1165.6996,296.09033,1305.6637,245.21341,1172.3448,311.36133,1342.8933,313.90567,1201.7568,380.62866,1365.0923,353.57007,1216.4767,416.27856,1392.99,360.29968,1234.5192,425.03284,1285.5975,346.27216,1148.7538,405.31512
1380.8695,255.53392,1289.7393,340.08203,1356.1255,200.63145,1312.9244,289.20187,1357.2603,189.68271,1322.0731,278.25464,1295.2245,313.0988,1318.487,370.2427,1312.8783,313.38956,1331.145,373.34946,1313.1115,318.96817,1386.6757,381.19766,1335.5569,364.61804,1409.8274,386.9955,1355.0446,366.0917,1416.3467,371.0678,1251.3147,361.84473,1429.2289,446.93427,1355.8632,189.8161,1252.8425,297.24564,1366.5215,179.53146,1252.7528,289.88843,1280.8971,226.20697,1156.2655,293.41183,1288.3344,239.27705,1161.5653,309.82104,1315.6349,314.70383,1185.2335,382.50287,1330.1544,363.3571,1195.412,419.43225,1357.6333,367.78445,1213.8025,428.23376,1248.0049,362.23978,1122.7128,417.4443
1371.9143,257.2615,1277.3574,339.71872,1347.0253,198.54378,1302.4089,288.2385,1349.4172,187.465,1311.1323,277.44742,1297.9448,311.20804,1316.8601,372.6428,1315.1931,312.47855,1330.0609,374.7405,1306.7356,330.35846,1387.3209,382.01538,1317.6147,373.44815,1411.5026,387.91272,1338.2684,375.05475,1416.4902,370.57922,1230.3796,386.05707,1438.6027,441.1306,1348.0894,184.4875,1239.904,294.67844,1359.7245,177.37059,1240.2446,287.9748,1268.7913,232.90555,1146.5938,298.14578,1278.361,247.24594,1151.9938,314.5362,1301.984,325.4797,1171.7764,385.4838,1310.8256,370.7711,1184.5803,426.95193,1339.7094,377.27844,1201.4071,433.5821,1229.9757,385.70987,1091.3997,432.10184
1361.0422,258.00204,1267.1898,341.16183,1338.9977,201.20586,1291.812,289.0813,1338.3298,192.61053,1298.9442,275.3225,1297.0905,312.7199,1312.0082,371.09705,1312.1825,312.31708,1327.0723,371.59186,1301.6223,342.9249,1386.5205,380.81583,1310.8059,382.25626,1412.802,386.3924,1334.6697,384.6785,1415.6185,368.32504,1232.035,409.69644,1114.6218,458.55283,1358.3816,200.65692,1231.4388,296.19223,1352.1882,184.49213,1229.9315,288.57474,1262.1019,244.81206,1137.2938,312.81314,1267.821,258.4379,1143.5723,329.55713,1297.9539,339.26437,1167.5071,395.67093,1309.5682,381.85468,1184.9465,437.8828,1336.1646,384.2578,1202.6952,441.07434,1232.435,410.5013,1120.3313,458.9209
1363.551,263.6707,1259.4446,342.27557,1328.5411,207.51605,1279.2393,287.29697,1328.2041,200.12756,1287.3987,275.0841,1284.184,311.90518,1302.1423,368.06586,1300.8303,309.3275,1314.9224,369.9127,1248.491,254.54556,1378.3535,376.45633,1320.3413,382.3198,1409.1704,382.85593,1345.6681,379.3128,1408.3303,365.21228,1248.5847,409.59235,1445.9169,436.22314,1365.561,216.21368,1221.4581,300.5007,1374.7463,209.06487,1219.1742,293.1059,1255.0613,252.19275,1131.6364,324.69772,1262.1072,264.37466,1140.4901,338.54196,1299.1086,340.54282,1173.0309,399.13464,1318.8795,381.66568,1198.1217,436.29852,1346.9174,380.9308,1216.7794,435.692,1246.6066,410.38004,1132.1423,459.96954
1359.7029,272.76404,1251.7019,346.26694,1324.8262,216.43674,1271.8315,291.61075,1324.6101,206.78795,1279.5265,279.74548,1262.9727,314.08746,1288.5691,368.48563,1257.4788,275.62903,1301.3386,368.19443,1301.4591,335.97675,1361.6362,363.79675,1332.228,375.16736,1394.7999,366.65436,1354.3584,372.58652,1393.3801,345.75842,1261.8728,408.61273,1431.9786,437.37585,1364.5609,218.656,1214.8798,303.13022,1371.0555,213.41728,1213.3298,295.65414,1251.3258,261.39764,1128.9099,332.14905,1259.9858,270.35236,1138.5945,345.18985,1305.351,339.44174,1182.153,401.8923,1330.8608,376.00983,1208.7616,433.17004,1354.4916,376.1256,1226.0287,430.47366,1262.1722,410.45175,1147.6115,459.0317
1364.4186,268.18698,1253.7556,344.65952,1311.9238,215.9011,1265.5602,293.48056,1312.6813,208.05884,1274.1854,282.46167,1244.7069,309.2369,1271.9009,371.33905,1258.3372,307.88916,1287.7673,369.05338,1360.7542,283.0496,1336.6654,354.0453,1420.6019,267.2113,1369.4657,347.40952,1430.9819,251.89531,1373.2545,327.80676,1282.2554,408.4638,1421.029,437.60178,1356.2483,221.02187,1211.3951,305.98746,1366.37,215.8905,1208.3746,300.508,1249.0522,270.12704,1125.1337,342.43173,1259.5928,279.33694,1136.982,355.15143,1314.6908,337.1662,1189.4935,403.32956,1344.0148,369.58945,1219.3704,428.92554,1370.2687,363.35034,1237.7737,422.58588,1280.6221,411.0273,1160.1567,460.6236
1359.92,277.29333,1249.2498,345.60144,1304.4722,220.77963,1260.5952,296.2721,1307.1233,212.62688,1270.1105,286.28122,1223.0724,306.16275,1253.3446,365.6307,1239.3536,304.89487,1266.0941,363.47638,1339.9446,276.64105,1318.814,348.10712,1390.4722,256.51224,1351.5503,341.6672,1401.5677,241.40324,1356.1964,321.47525,1298.5687,408.27707,1369.8397,414.84296,1353.4786,224.50995,1207.4974,306.96036,1360.4647,218.57452,1202.6807,301.20273,1248.3896,279.58554,1122.5568,350.0515,1257.2026,290.43063,1135.7823,360.20792,1325.5513,337.6054,1196.6915,401.3174,1358.4426,360.76215,1229.0953,422.60684,1382.0566,354.47433,1245.2048,415.01917,1297.4724,408.7467,1170.3511,459.8298
1339.6687,273.0533,1244.7373,341.20428,1295.6273,218.80165,1253.5356,291.7869,1297.891,211.69641,1265.1123,284.99826,1201.3333,298.36115,1233.7074,355.34485,1215.4852,299.97943,1246.6752,355.30505,1307.4115,282.32648,1304.6288,350.6854,1363.3711,274.35214,1336.8883,347.05426,1381.7894,260.333,1350.6647,332.40353,1309.1489,408.34305,1321.2941,418.61224,1346.7673,225.48259,1202.507,304.9528,1353.3344,218.58815,1197.6268,299.7086,1248.9984,287.34766,1123.2548,357.66586,1257.5538,297.09766,1136.7156,366.24496,1329.2441,335.73117,1198.5378,398.7641,1363.7754,351.60495,1234.7505,414.46884,1389.4808,345.6538,1249.3291,404.88428,1304.235,408.81485,1182.9814,458.9348
