PubicSymphysis_cam1_X,PubicSymphysis_cam1_Y,PubicSymphysis_cam2_X,PubicSymphysis_cam2_Y,FemurRHead_cam1_X,FemurRHead_cam1_Y,FemurRHead_cam2_X,FemurRHead_cam2_Y,FemurRTrochanter_cam1_X,FemurRTrochanter_cam1_Y,FemurRTrochanter_cam2_X,FemurRTrochanter_cam2_Y,FemurRCondyles_cam1_X,FemurRCondyles_cam1_Y,FemurRCondyles_cam2_X,FemurRCondyles_cam2_Y,TibiaRP_cam1_X,TibiaRP_cam1_Y,TibiaRP_cam2_X,TibiaRP_cam2_Y,TibiaRHarp_cam1_X,TibiaRHarp_cam1_Y,TibiaRHarp_cam2_X,TibiaRHarp_cam2_Y,TibiaRD_cam1_X,TibiaRD_cam1_Y,TibiaRD_cam2_X,TibiaRD_cam2_Y,CalcaneusR_cam1_X,CalcaneusR_cam1_Y,CalcaneusR_cam2_X,CalcaneusR_cam2_Y,MetatarsalR_cam1_X,MetatarsalR_cam1_Y,MetatarsalR_cam2_X,MetatarsalR_cam2_Y,FemurLHead_cam1_X,FemurLHead_cam1_Y,FemurLHead_cam2_X,FemurLHead_cam2_Y,FemurLTrochanter_cam1_X,FemurLTrochanter_cam1_Y,FemurLTrochanter_cam2_X,FemurLTrochanter_cam2_Y,FemurLCondyles_cam1_X,FemurLCondyles_cam1_Y,FemurLCondyles_cam2_X,FemurLCondyles_cam2_Y,TibiaLP_cam1_X,TibiaLP_cam1_Y,TibiaLP_cam2_X,TibiaLP_cam2_Y,TibiaLHarp_cam1_X,TibiaLHarp_cam1_Y,TibiaLHarp_cam2_X,TibiaLHarp_cam2_Y,TibiaLD_cam1_X,TibiaLD_cam1_Y,TibiaLD_cam2_X,TibiaLD_cam2_Y,CalcaneusL_cam1_X,CalcaneusL_cam1_Y,CalcaneusL_cam2_X,CalcaneusL_cam2_Y,MetatarsalL_cam1_X,MetatarsalL_cam1_Y,MetatarsalL_cam2_X,MetatarsalL_cam2_Y
-1.1547422,-0.56951904,0.7176235,1.013485,8.014301,-0.26700974,2.9587774,0.27402234,-0.54599905,5.3281555,1.1405652,-0.0018963814,0.86313057,894.20404,0.8034439,0.31411982,1.9451637,-3.3579116,-0.41541243,5.2162066,-7.495619,-1.3614368,-3.2645955,2.9846334,-2.0530252,-0.339993,1914.4547,0.065659046,0.1757586,-6.2624617,-2.5896916,-1.0070901,-7.1749687,0.6072068,-0.97846174,-1.7736025,8.1487255,1.556057,1.6631131,-0.109447956,1.6669471,0.5684409,0.5468228,-2.5283418,2.4383674,893.192,1.6553962,1.4136283,-1.6230865,0.77666426,-1.4664788,-2.4582772,0.43557906,892.52466,-0.036460876,-0.31075478,0.2629776,-1.5913038,1913.5178,0.39712048,-1.5528278,1.7005036,0.07575774,0.8223686,-1.8929715,0.36097717,-2.9373288,-0.108258724
1075.0431,301.34976,962.88196,343.644,1025.061,259.0545,968.44714,302.7032,1031.7657,252.0838,979.9196,302.03818,932.24054,295.3832,892.1216,329.84137,943.7433,306.55545,897.8595,339.34457,999.4516,365.5522,925.384,403.63596,1033.7631,399.69836,941.97845,440.21942,1052.305,395.5707,958.2278,438.73267,964.9399,425.7131,878.2642,459.72208,1074.7249,248.9525,934.25574,301.27396,1080.3218,240.23317,927.54956,294.74774,1076.2671,332.4532,884.0962,383.8299,1087.5336,330.8338,896.4043,384.03207,1152.7079,314.60947,964.97205,370.82034,1181.4509,308.001,1009.1124,367.92938,1182.6819,291.1511,1014.61066,352.7022,1230.3916,380.75964,1033.9266,441.5908
1071.5262,305.80435,961.9467,352.20944,1022.7893,265.31168,967.09045,306.2335,1028.3494,255.9054,980.594,307.21576,934.5087,304.19458,890.58344,340.25723,945.5325,314.04074,897.4841,349.34183,1006.2515,366.99207,932.9376,406.8692,1045.1422,394.93832,953.30194,435.00018,1062.512,389.14694,973.2162,432.69385,976.56726,426.21207,889.3516,459.856,1068.338,252.87885,933.4955,303.34375,1074.4745,241.50058,925.9455,299.03073,1065.3406,331.8567,874.5929,381.16785,1078.4142,330.84546,886.52527,381.2412,1138.3909,300.76715,952.0505,361.63568,1168.9572,293.19467,994.1709,348.21036,1168.3027,269.74173,997.58887,330.4211,1211.6044,377.58652,1021.992,416.90613
1069.4034,308.7548,958.51807,348.85638,1018.6698,269.017,967.23505,307.2986,1023.6017,259.07037,980.12366,309.41196,936.07227,315.25818,892.06726,351.83316,947.705,323.73,900.04047,359.4338,1014.82324,366.14777,940.77,408.1372,1055.7394,389.60358,964.5198,432.94556,1072.6621,382.95993,982.40576,428.08752,992.0912,424.3728,906.4565,459.2925,1063.6564,254.69572,930.2783,306.68716,1070.8064,245.10373,924.2006,301.14856,1050.9014,327.95923,861.6195,372.10635,1063.2762,326.96844,872.45105,374.1273,1125.3462,297.49463,935.2846,354.8008,1154.6443,284.02216,977.9717,338.73187,1158.5815,262.6446,984.74756,326.527,1171.0145,358.63293,980.28265,414.1724
1067.5869,308.08432,955.58435,345.00662,1016.932,270.90247,963.7287,309.78412,1021.5454,260.7253,976.9085,309.3543,939.795,326.38342,891.53296,354.1008,951.15826,331.56143,901.6922,362.20255,1022.29803,364.21973,947.6059,406.174,1065.2015,383.22394,976.48456,425.85303,1080.5083,373.48935,993.9286,420.18423,1006.208,423.22083,918.5891,459.03714,1060.3328,254.5123,923.8838,306.958,1069.2457,246.40785,919.2109,301.19806,1035.1874,320.78293,846.8635,367.6211,1047.1208,322.13843,859.5531,367.8963,1115.1931,301.75183,925.3681,356.7456,1148.0454,292.625,966.47925,347.34406,1156.8016,273.22064,977.9281,334.76456,1136.7426,363.10324,937.1346,410.9258
1062.4819,303.01303,952.1072,350.79123,1015.63525,267.7829,959.4013,309.75095,1020.85834,257.7828,971.3344,308.56073,942.8801,333.29504,897.47076,364.61847,956.19,338.69803,905.7063,371.60254,1029.831,361.24652,953.6349,401.39188,1071.9957,371.95078,985.0229,418.0507,1087.8966,360.27075,1001.95514,410.0087,1019.4876,422.18573,933.476,460.2529,1055.7732,252.20602,918.5514,304.73856,1065.1921,245.99414,914.4188,298.78452,1020.01416,312.0055,831.65533,349.6589,1030.6951,315.22653,843.9973,354.49765,1103.0342,313.01733,916.1467,361.6166,1138.9252,307.52277,950.35,363.2417,1153.7985,295.51068,966.455,355.57724,1103.4342,361.3932,904.30676,411.12726
1064.0475,303.73785,948.50977,349.11374,1013.23315,267.46817,955.5519,309.28043,1017.74255,257.53558,966.9264,306.21356,947.8144,342.11975,901.99866,372.97296,959.86725,345.6017,910.3862,381.70157,1035.4062,357.92838,962.8337,401.06235,1077.5789,364.7959,989.6011,411.15222,1096.9703,352.57864,1005.398,400.8688,1030.6738,422.39972,948.6223,460.7151,1052.6697,251.33003,911.32697,303.01944,1062.9164,247.27371,907.58655,296.59473,1005.0848,295.2764,820.12225,337.4203,1013.44867,300.98444,831.85284,344.8482,1086.4072,321.6746,898.6577,369.3921,1123.0723,328.7679,929.02563,380.60614,1145.9299,321.2871,946.8526,375.94092,1083.7413,357.34677,873.56024,406.44785
1058.0443,300.8762,941.2778,345.93604,1010.6128,262.86047,950.5508,307.8754,1014.4623,254.8467,962.9251,305.1517,950.1506,346.10303,904.206,382.47302,963.9078,348.63486,915.96295,386.94016,1040.352,357.3577,967.1445,398.85028,1087.7349,355.13498,993.0207,404.85272,1105.9528,343.33185,1006.5673,393.36154,1042.3694,421.36224,959.70715,460.6198,1046.2682,248.76105,903.5802,302.1105,1058.141,247.1314,900.96606,295.64255,992.2368,286.36877,811.419,325.0933,1000.4989,293.3814,823.04645,335.7051,1067.3514,329.47244,884.90497,374.58875,1099.1326,342.6615,908.07745,393.28192,1119.0864,342.28705,923.44104,391.88098,1044.8462,419.54514,847.4916,408.77286
1054.8397,298.43652,935.50836,346.48175,1010.11017,263.4575,947.56866,304.9037,1013.5496,254.40884,957.9864,301.71912,952.975,349.45938,909.3599,384.74518,967.25836,351.6803,918.7327,389.79895,1041.3938,356.9859,970.4961,396.76428,1087.8756,351.2354,995.1474,398.75174,1106.0864,335.87122,1007.0717,385.0982,1052.9843,420.75922,970.44434,460.20837,1042.1769,247.03816,897.0671,300.50317,1053.0197,246.97836,894.417,292.66486,979.2667,276.06903,801.3677,312.99557,993.69073,288.61804,813.2219,324.48682,1049.049,334.041,865.2901,378.749,1075.4414,358.02,884.913,400.3492,1096.2905,361.73596,903.49744,401.6279,1053.5438,418.53735,827.00366,405.58716
1052.5537,298.50082,927.6717,346.04456,1008.1318,263.4396,942.0652,303.32968,1010.9337,254.38522,952.1732,298.09152,959.12994,353.80005,911.95575,386.88828,974.6076,355.04742,921.7937,392.02917,1056.3785,347.12537,972.54193,394.05914,1099.5356,343.17654,997.2962,394.04193,1111.6472,326.1866,1007.03296,378.51697,1068.147,418.0244,982.34753,458.5205,1040.0947,245.57835,891.6494,297.01443,1050.504,244.77734,890.1371,289.86703,966.7799,263.0799,794.79663,303.58066,976.8237,274.73898,804.3949,316.0619,1028.8159,335.78052,848.4774,381.01532,1049.9769,367.81424,865.22565,406.19464,1072.9744,371.1413,880.0241,411.13376,987.2164,366.5361,799.77386,406.0027
