R_ISt,R_MSt,R_TSt,R_MSw,R_TSw
155,165,174,180,186
186,194,201,207,212
212,222,231,237,243
275,287,299,305,311
311,321,331,337,343
382,390,398,405,411
411,422,432,439,445
471,484,497,503,508
