L_ISt,L_MSt,L_TSt,L_MSw,L_TSw
171,179,187,193,199
328,340,351,357,362
362,375,387,392,397
397,407,416,423,429
429,438,446,452,457
457,468,478,484,490
490,507,523,529,534
534,544,554,560,565
565,572,579,586,592
