PubicSymphysis_cam1_X,PubicSymphysis_cam1_Y,PubicSymphysis_cam2_X,PubicSymphysis_cam2_Y,FemurRHead_cam1_X,FemurRHead_cam1_Y,FemurRHead_cam2_X,FemurRHead_cam2_Y,FemurRTrochanter_cam1_X,FemurRTrochanter_cam1_Y,FemurRTrochanter_cam2_X,FemurRTrochanter_cam2_Y,FemurRCondyles_cam1_X,FemurRCondyles_cam1_Y,FemurRCondyles_cam2_X,FemurRCondyles_cam2_Y,TibiaRP_cam1_X,TibiaRP_cam1_Y,TibiaRP_cam2_X,TibiaRP_cam2_Y,TibiaRHarp_cam1_X,TibiaRHarp_cam1_Y,TibiaRHarp_cam2_X,TibiaRHarp_cam2_Y,TibiaRD_cam1_X,TibiaRD_cam1_Y,TibiaRD_cam2_X,TibiaRD_cam2_Y,CalcaneusR_cam1_X,CalcaneusR_cam1_Y,CalcaneusR_cam2_X,CalcaneusR_cam2_Y,MetatarsalR_cam1_X,MetatarsalR_cam1_Y,MetatarsalR_cam2_X,MetatarsalR_cam2_Y,FemurLHead_cam1_X,FemurLHead_cam1_Y,FemurLHead_cam2_X,FemurLHead_cam2_Y,FemurLTrochanter_cam1_X,FemurLTrochanter_cam1_Y,FemurLTrochanter_cam2_X,FemurLTrochanter_cam2_Y,FemurLCondyles_cam1_X,FemurLCondyles_cam1_Y,FemurLCondyles_cam2_X,FemurLCondyles_cam2_Y,TibiaLP_cam1_X,TibiaLP_cam1_Y,TibiaLP_cam2_X,TibiaLP_cam2_Y,TibiaLHarp_cam1_X,TibiaLHarp_cam1_Y,TibiaLHarp_cam2_X,TibiaLHarp_cam2_Y,TibiaLD_cam1_X,TibiaLD_cam1_Y,TibiaLD_cam2_X,TibiaLD_cam2_Y,CalcaneusL_cam1_X,CalcaneusL_cam1_Y,CalcaneusL_cam2_X,CalcaneusL_cam2_Y,MetatarsalL_cam1_X,MetatarsalL_cam1_Y,MetatarsalL_cam2_X,MetatarsalL_cam2_Y
1170.7985,313.38242,1147.5315,345.93158,1451.5385,357.7984,1157.9508,301.05057,1260.2943,321.1349,1171.7899,298.96268,1135.7292,338.59006,1097.0822,317.67993,806.35205,371.2959,1103.8124,330.7914,1029.5074,366.16455,1119.4368,403.0251,1055.9677,406.68753,1131.5028,448.49213,1078.6147,407.8851,1149.0748,451.84537,979.8609,429.31805,1065.5565,461.9635,1249.6771,327.8424,1111.7595,305.10754,1175.4214,254.71034,1105.0444,302.05795,1135.0841,334.2436,1064.4702,393.87402,1146.5679,335.3016,1078.4249,392.967,1221.5984,327.48264,1148.874,389.26514,1252.8347,325.72028,1193.1257,387.4518,1256.6425,308.1243,1203.0222,372.84903,1286.6802,404.57306,1177.635,460.90952
1134.6099,302.31757,1151.3667,350.51706,1087.2291,255.66339,1158.6755,302.30615,1095.1702,248.76413,1171.5917,305.17166,980.8699,283.2563,1096.2675,320.2814,990.11426,296.29956,1102.7488,332.97617,1035.3926,361.29074,1125.5645,405.5942,1066.0433,404.68637,1137.826,447.0904,1087.3875,401.8771,1154.182,447.43427,989.24,430.262,1077.7451,463.6238,1137.0017,248.57161,1115.1354,307.13535,1143.1654,238.53476,1110.1476,302.51807,1132.0864,337.3647,1063.3856,393.7762,1144.9926,337.33408,1076.0557,392.73044,1220.3972,328.01868,1152.0885,387.0599,1253.7289,325.2522,1190.6299,384.9086,1257.2006,307.00858,1199.2355,372.63132,1295.0106,399.73206,1185.1488,455.7232
1132.4604,305.33197,1151.6442,351.46216,1085.2451,258.68445,1159.6843,304.57175,1092.6097,250.637,1173.162,307.6767,980.74506,289.53162,1099.1399,329.97922,991.8143,302.69928,1106.7166,341.6286,1045.1409,364.44543,1131.2501,406.42786,1077.5421,401.02057,1146.8329,443.40277,1098.2944,397.16595,1162.3818,442.75446,1000.4458,426.91592,1085.6359,462.4893,1131.9714,249.77898,1115.4724,309.4857,1139.3197,240.47832,1110.5352,303.3233,1123.6718,339.45474,1059.8416,394.66977,1137.1924,337.6223,1072.7544,393.6531,1214.664,325.2297,1143.1816,384.33356,1249.7375,320.18503,1184.5676,381.2519,1251.5309,301.10043,1188.9015,368.3803,1304.831,390.6434,1194.8527,449.0633
1126.2782,304.9041,1146.6165,354.32388,1079.5985,261.59335,1158.308,307.35504,1087.2612,252.57071,1172.7535,307.9183,980.41327,298.33124,1099.3854,339.8906,991.21027,310.8835,1107.8087,349.08,1050.9026,364.35217,1139.4244,407.77884,1088.3652,395.14664,1159.0002,439.91898,1109.139,390.27484,1175.1188,437.52234,1012.0357,426.75534,1106.9503,463.53748,1124.7112,252.28886,1112.6447,310.6979,1132.8546,242.54514,1106.2542,305.4309,1113.9987,342.90274,1052.8771,393.00552,1128.0359,339.6596,1063.5533,392.67758,1206.2261,314.42892,1137.8472,375.2787,1241.2573,308.18088,1170.121,367.9599,1241.0546,284.6301,1172.3347,353.98657,1301.3444,376.57056,1199.2236,434.95428
1120.562,304.8307,1144.8379,353.65967,1078.702,261.36102,1157.1102,307.72003,1085.7478,250.40126,1170.6935,307.7171,980.0724,305.39276,1101.3672,346.6971,992.67395,315.93054,1108.4991,355.5784,1060.452,362.42493,1147.398,407.06442,1100.0009,388.8558,1169.4535,431.34778,1118.6045,381.3566,1188.7552,424.04178,1026.8683,425.43436,1119.3833,463.17447,1120.0187,253.87926,1110.7715,311.25974,1128.644,244.51486,1104.0957,305.37534,1103.7546,341.82034,1047.488,391.4406,1117.0358,338.1959,1056.9921,391.50742,1189.4628,303.5453,1117.3293,365.0943,1223.4697,289.84903,1154.5354,350.9974,1222.7197,264.78717,1162.0044,340.69727,1279.3811,375.64368,1184.1891,413.6656
1119.1862,307.48746,1143.4373,355.28537,1075.6415,259.25354,1156.7075,307.14328,1081.9899,248.54602,1169.5879,306.2237,982.7403,312.88773,1103.9822,351.14517,995.37854,321.77484,1112.2285,362.4553,1066.7926,360.02567,1155.0175,407.9778,1110.9552,382.35284,1176.9214,426.764,1128.5675,372.7784,1193.798,420.1932,1045.2769,423.58484,1130.9342,463.33276,1117.4247,252.93338,1108.4574,311.10178,1126.6354,244.36794,1102.4065,303.91922,1083.4551,333.60217,1041.0776,383.63013,1095.3016,335.1453,1051.4283,383.91858,1176.8429,298.35703,1112.9763,361.32065,1212.588,285.91116,1143.7074,349.34146,1217.5713,262.5447,1152.2081,337.12012,1230.3282,360.4816,1141.5953,405.31424
1113.8044,304.77246,1144.8903,351.9948,1072.8038,257.0115,1155.4489,304.37445,1078.7645,246.19313,1168.4128,302.26184,985.37354,318.42374,1105.0518,356.90854,997.8984,325.64346,1113.3619,365.13324,1073.4586,357.46548,1160.37,400.80994,1119.1469,373.2053,1184.181,419.62274,1137.2297,361.88318,1198.9038,411.67865,1054.6722,422.85364,1145.6761,464.518,1112.6152,250.43396,1107.14,309.7157,1122.3756,243.15808,1101.6564,303.53015,1071.4741,325.10074,1030.1787,375.7453,1083.4231,327.7152,1040.9755,375.93515,1163.5428,304.26242,1108.0461,360.8705,1205.1862,293.95654,1135.2208,354.01773,1217.6808,273.29993,1146.9357,343.399,1189.5214,366.64783,1102.1033,412.18347
1112.4064,302.10666,1139.0714,352.58438,1072.8685,256.2861,1153.0721,302.23718,1078.8453,244.2429,1166.8376,298.63345,986.6487,322.14972,1112.6486,364.43948,999.16144,327.93134,1121.6915,369.54947,1078.906,351.79465,1168.757,398.74353,1126.4697,363.04962,1190.5474,412.35538,1145.0138,348.26596,1205.6714,403.34885,1068.1102,422.6711,1157.1913,463.2619,1107.6848,247.14587,1102.6348,306.02026,1118.9973,241.14017,1097.6968,299.2314,1052.7858,313.9909,1020.3452,362.15793,1065.3752,318.63605,1030.552,365.78134,1151.808,313.3511,1089.91,368.39838,1195.3282,309.6625,1118.3959,367.8649,1211.668,297.4606,1133.9418,361.83432,1154.1431,360.10562,1072.5898,414.7053
1113.6284,300.8726,1138.0391,351.16458,1066.8871,251.04709,1150.6404,298.87405,1071.5616,239.45581,1163.434,294.8373,987.37146,327.84406,1116.7893,370.80475,1003.40753,332.16748,1127.6252,371.6127,1084.5969,349.97626,1174.0035,397.02722,1132.698,354.81155,1196.1648,406.99527,1150.6821,342.5052,1209.2147,395.272,1082.1979,423.4113,1169.3665,463.72476,1102.8766,243.70486,1097.3219,303.46985,1114.9302,240.01004,1093.9547,297.65582,1039.3317,298.34476,1009.0128,347.18542,1051.0853,305.043,1020.034,353.46387,1130.6932,318.7184,1075.6813,371.07126,1176.3679,326.74295,1104.9518,382.4037,1199.2936,316.3442,1122.3435,380.75366,1119.899,358.634,1049.99,416.4043
1103.9314,296.13797,1130.2142,348.83487,1060.926,247.9467,1147.3573,297.07666,1064.9393,238.76262,1159.3702,291.15454,988.3159,329.15872,1119.8848,368.41492,1005.4313,333.79724,1132.1023,372.8724,1092.5542,346.76266,1178.9023,393.50348,1137.6128,346.36267,1199.8365,401.42108,1155.9109,334.03763,1210.3431,384.8127,1097.0383,419.5577,1178.8918,463.3015,1094.8217,241.13081,1092.237,300.82162,1108.3221,239.19553,1089.8923,293.7423,1024.9274,278.89026,997.6576,329.29138,1035.4231,287.80484,1007.84485,338.9583,1107.9049,323.3775,1063.7448,374.98444,1140.2887,339.84567,1089.2247,393.0056,1158.9796,339.10815,1106.7789,393.6092,1089.0916,367.6745,1030.4479,412.96207
