L_ISt,L_MSt,L_TSt,L_MSw,L_TSw
208,216,223,230,237
237,247,257,264,270
270,281,291,297,303
303,312,321,328,334
380,388,396,402,408
408,416,423,430,437
437,445,453,460,466
466,477,487,495,502
