R_ISt,R_MSt,R_TSt,R_MSw,R_TSw
69,79,89,95,101
101,108,114,120,125
125,133,141,147,152
216,224,232,238,244
244,254,263,269,275
310,320,330,336,342
466,475,484,489,494
