L_ISt,L_MSt,L_TSt,L_MSw,L_TSw
85,94,102,108,113
167,175,183,191,198
198,209,220,226,231
231,239,247,253,259
294,304,314,320,326
326,336,346,352,357
414,426,437,443,448
448,459,469,475,481
