R_ISt,R_MSt,R_TSt,R_MSw,R_TSw
240,248,255,261,267
267,276,284,290,296
296,303,310,316,322
322,330,337,343,349
349,357,365,371,377
377,385,392,398,404
404,412,420,426,431
431,438,444,450,456
