L_ISt,L_MSt,L_TSt,L_MSw,L_TSw
229,235,241,248,254
254,262,270,276,282
282,290,297,303,309
309,316,323,329,335
335,344,352,358,363
363,371,379,385,390
390,398,405,411,417
417,424,431,437,443
443,451,458,464,470
