L_ISt,L_MSt,L_TSt,L_MSw,L_TSw
115,122,128,134,140
140,151,161,168,174
208,218,228,235,241
241,251,261,268,274
274,287,300,306,311
343,355,366,372,378
454,461,468,474,480
480,488,495,502,508
508,518,528,534,540
