R_ISt,R_MSt,R_TSt,R_MSw,R_TSw
99,108,116,122,127
127,135,143,150,156
156,169,181,188,195
222,233,244,251,257
257,267,277,285,292
292,302,311,318,324
324,336,347,354,361
361,373,385,391,396
439,447,455,460,465
493,502,510,517,523
